Postcode,Lat,Long,Name
M1 4AJ,53.4801,-2.23795,PICCADILLY GARDENS SIMPLY FOOD
M1 1WT,53.48337,-2.24395,MANCHESTER
M1 2BN,53.47705,-2.22997,PICCADILLY RAIL STATION SIMPLY FOOD
M4 6DE,53.48119,-2.22636,URBAN EXCHANGE MANCHESTER OUTLET
M3 1WY,53.48785,-2.24222,MANCHESTER VICTORIA STATION SSP
M3 3EB,53.47955,-2.25292,MANCHESTER SPINNINGFIELDS FOODHALL
M8 8EP,53.49722,-2.23503,CHEETHAM HILL SIMPLY FOOD
M13 9WL,53.46244,-2.22771,MANCHESTER ROYAL INFIRMARY
M50 3AH,53.4709,-2.29306,SALFORD QUAYS LOWRY OUTLET
M20 4BX,53.42975,-2.23005,CHRISTIE'S HOSPITAL
M25 3AN,53.53523,-2.28648,PRESTWICH SIMPLY FOOD
M20 6WF,53.41651,-2.23139,DIDSBURY SIMPLY FOOD
M23 9LT,53.38792,-2.29319,WYTHENSHAWE HOSPITAL
M16 0RP,53.46123,-2.28369,STRETFORD FOODHALL
M21 8AU,53.43609,-2.27395,Chorlton-cum-Hardy Foodhall
M6 8HD,53.48754,-2.32342,SALFORD ROYAL HOSPITAL
M17 8AA,53.46571,-2.34983,TRAFFORD CENTRE
OL6 7UB,53.4827,-2.12369,ASHTON MOSS
SK4 3AJ,53.41149,-2.21118,HEATON MERSEY BP
M33 7AD,53.42517,-2.32557,SALE SIMPLY FOOD
OL10 2RB,53.56732,-2.22994,BIRCH WEST M62 MOTO SIMPLY FOOD
OL10 2HQ,53.58505,-2.20798,BIRCH EAST MOTO
M28 3UD,53.52678,-2.4007,WALKDEN FOODHALL
WA14 1RH,53.38765,-2.35011,ALTRINCHAM
SK8 7JL,53.36726,-2.18505,CHEADLE HULME BP
BL9 0JL,53.59516,-2.29087,BURY THE ROCK
SK7 4BE,53.38222,-2.12346,HAZEL GROVE SIMPLY FOOD
WA15 9SF,53.37698,-2.34602,Hale Foodhall
SK9 3PB,53.34886,-2.20544,HANDFORTH